DAC,Subsidence,GWDZones,EconSR1,EconSR2&3
3267,3805,2462,2718,2291
3268,3883,2555,2719,2292
3269,3884,2655,2724,2294
3353,3885,2656,2725,2373
3354,3886,2657,2726,2374
3438,3896,2658,2727,2376
3439,3897,2659,2728,2377
3445,3966,2667,2729,2453
3530,3967,2668,2730,2455
3533,3968,2718,2731,2456
3611,3969,2719,2732,2457
3613,3970,2783,2825,2458
3614,3971,2784,2826,2459
3615,3972,2786,2828,2460
3616,3973,2787,2829,2462
3688,3975,2788,2830,2463
3689,3979,2790,2831,2538
3690,3980,2791,2832,2543
3691,3981,2792,2833,2544
3760,3982,2794,2834,2545
3761,3983,2795,2835,2546
3762,4056,2797,2836,2547
3763,4057,2798,2839,2548
3835,4058,2799,2840,2549
3837,4059,2800,2841,2550
3838,4060,2801,2844,2551
3839,4061,2803,2845,2552
3843,4062,2804,2846,2553
3844,4063,2825,2847,2554
3906,4064,2844,2848,2555
3908,4066,2849,2849,2644
4178,4067,2850,2850,2645
4372,4068,2851,2851,2646
4373,4069,2858,2852,2647
4374,4130,2860,2853,2648
4375,4131,2904,2854,2649
,4132,2905,2855,2650
,4133,2906,2856,2651
,4139,2921,2857,2652
,4140,2923,2858,2653
,4141,2924,2859,2654
,4142,2926,2860,2655
,4143,2927,2861,2656
,4144,2928,2862,2657
,4145,2933,2863,2658
,4146,2935,2865,2659
,4147,2973,2866,2667
,4148,2984,2867,2668
,4149,2985,2868,2767
,4150,2987,2869,2768
,4151,2988,2958,2769
,4152,2989,2959,2770
,4153,3030,2960,2771
,4154,3040,2961,2772
,4155,3049,2962,2773
,4156,3050,2963,2774
,4157,3139,2964,2775
,4158,3140,2965,2776
,4159,3148,2966,2777
,4230,3150,2967,2778
,4231,3151,2968,2779
,4232,3161,2969,2780
,4233,3185,2970,2781
,4234,3225,2971,2782
,4235,3226,2972,2783
,4236,3230,2973,2784
,4237,3234,2974,2785
,4238,3235,2975,2786
,4241,3237,2976,2787
,4242,3242,2977,2788
,4243,3243,2978,2790
,4244,3244,2979,2791
,4245,3245,2980,2792
,4246,3246,2981,2794
,4247,3247,2982,2795
,4248,3277,2983,2797
,4249,3333,2984,2798
,4250,3334,2985,2799
,4251,3335,2986,2800
,4252,3338,2987,2801
,4253,3339,2988,2803
,4254,3340,2989,2804
,4255,3342,2990,2904
,4256,3358,2991,2905
,4257,3406,2992,2906
,4258,3410,2997,2907
,4259,3419,2998,2908
,4260,3429,3061,2909
,4261,3443,3062,2910
,4262,3444,3063,2911
,4263,3445,3072,2912
,4357,3486,3073,2913
,4358,3488,3074,2914
,4359,3490,3075,2915
,4360,3491,3076,2916
,4361,3492,3077,2917
,4362,3518,3078,2918
,4363,3519,3079,2919
,4364,3520,3080,2920
,4365,3521,3081,2921
,4366,3577,3082,2922
,4367,3579,3083,2923
,4368,3580,3084,2924
,4369,3581,3085,2925
,4370,3582,3086,2926
,4371,3583,3087,2927
,4372,3584,3088,2928
,4373,3585,3089,2929
,4374,3586,3090,2930
,4375,3587,3091,2931
,4376,3599,3092,2932
,4377,3600,3093,2933
,4378,3601,3094,2935
,4480,3602,3095,2936
,4481,3603,3096,3030
,4482,3604,3097,3031
,4483,3606,3098,3032
,4484,3624,3099,3033
,4485,3658,3100,3034
,4486,3661,3101,3035
,4487,3662,3102,3036
,4488,3663,3103,3037
,4489,3664,3104,3038
,4490,3665,3105,3039
,4491,3666,3106,3040
,4492,3667,3164,3041
,4493,3668,3165,3042
,4494,3669,3166,3043
,4495,3678,3167,3044
,4496,3679,3168,3045
,4497,3680,3169,3046
,4498,3681,3170,3047
,4597,3682,3171,3048
,4598,3737,3172,3049
,4599,3738,3173,3050
,4600,3739,3174,3052
,4601,3740,3175,3053
,4602,3741,3176,3054
,4603,3742,3177,3055
,4604,3743,3178,3058
,4605,3744,3179,3060
,4606,3749,3180,3137
,4607,3750,3181,3138
,4608,3751,3182,3139
,4609,3752,3183,3140
,4610,3753,3184,3142
,4611,3774,3185,3143
,4612,3775,3186,3144
,4613,3776,3187,3145
,4614,3777,3188,3146
,4615,3805,3189,3147
,4616,3812,3190,3148
,4617,3813,3191,3149
,4618,3814,3192,3150
,4619,3815,3193,3151
,4620,3816,3194,3152
,4730,3817,3195,3153
,4731,3824,3196,3154
,4732,3825,3197,3155
,4733,3827,3198,3156
,4734,3828,3199,3157
,4735,3829,3200,3158
,4736,3845,3260,3159
,4737,3846,3261,3160
,4738,3883,3262,3161
,4739,3884,3263,3162
,4740,3885,3264,3163
,4741,3892,3265,3225
,4742,3893,3266,3226
,4743,3894,3267,3227
,4744,3895,3268,3228
,4746,3900,3269,3229
,4747,3902,3270,3230
,4748,3903,3271,3232
,4749,3906,3272,3233
,4873,3907,3273,3234
,4874,3967,3274,3235
,4875,3968,3275,3236
,4876,3969,3276,3237
,,3970,3277,3238
,,3971,3278,3239
,,3972,3279,3240
,,3973,3280,3241
,,3974,3281,3242
,,3975,3282,3243
,,3976,3283,3244
,,3977,3284,3245
,,3978,3285,3246
,,3979,3286,3247
,,3984,3287,3248
,,3985,3288,3249
,,3986,3289,3250
,,3987,3290,3251
,,3990,3291,3252
,,3991,3350,3253
,,3992,3351,3254
,,3993,3352,3255
,,3994,3353,3256
,,3995,3354,3257
,,3996,3355,3258
,,4000,3356,3259
,,4001,3357,3319
,,4004,3358,3320
,,4056,3359,3321
,,4057,3360,3322
,,4058,3361,3323
,,4059,3362,3324
,,4062,3363,3325
,,4064,3364,3326
,,4065,3365,3327
,,4066,3366,3328
,,4067,3367,3329
,,4070,3368,3330
,,4074,3369,3331
,,4075,3370,3332
,,4076,3371,3333
,,4077,3372,3334
,,4078,3373,3335
,,4083,3374,3336
,,4084,3375,3337
,,4085,3438,3338
,,4088,3439,3339
,,4089,3441,3340
,,4090,3442,3341
,,4130,3443,3342
,,4132,3444,3343
,,4133,3445,3344
,,4139,3446,3345
,,4140,3447,3346
,,4141,3448,3347
,,4142,3449,3348
,,4143,3450,3349
,,4144,3451,3406
,,4145,3452,3408
,,4146,3453,3409
,,4147,3454,3410
,,4148,3455,3411
,,4149,3456,3412
,,4150,3457,3413
,,4153,3458,3414
,,4154,3459,3415
,,4155,3531,3416
,,4156,3532,3417
,,4157,3533,3418
,,4158,3534,3419
,,4159,3535,3420
,,4168,3536,3421
,,4169,3537,3422
,,4170,3538,3423
,,4171,3539,3424
,,4172,3540,3425
,,4173,3541,3426
,,4174,3542,3427
,,4175,3543,3428
,,4176,3544,3429
,,4177,3545,3430
,,4180,3546,3431
,,4181,3547,3432
,,4182,3613,3433
,,4230,3614,3434
,,4231,3615,3435
,,4232,3616,3436
,,4233,3617,3437
,,4234,3618,3440
,,4235,3619,3486
,,4236,3620,3488
,,4237,3621,3490
,,4238,3622,3491
,,4241,3623,3492
,,4242,3624,3495
,,4243,3625,3496
,,4244,3626,3497
,,4245,3627,3498
,,4246,3628,3499
,,4247,3629,3500
,,4248,3630,3501
,,4249,3689,3502
,,4250,3690,3503
,,4251,3691,3504
,,4252,3692,3505
,,4253,3693,3506
,,4254,3694,3507
,,4255,3695,3508
,,4256,3696,3509
,,4257,3697,3510
,,4258,3698,3511
,,4260,3699,3512
,,4261,3700,3513
,,4262,3701,3514
,,4263,3702,3515
,,4264,3703,3516
,,4265,3704,3517
,,4266,3763,3518
,,4267,3764,3519
,,4268,3765,3520
,,4269,3766,3521
,,4270,3767,3522
,,4271,3768,3523
,,4272,3769,3524
,,4273,3770,3525
,,4274,3771,3526
,,4275,3772,3527
,,4276,3773,3528
,,4277,3774,3529
,,4278,3775,3530
,,4279,3776,3577
,,4280,3777,3578
,,4281,3778,3579
,,4357,3779,3580
,,4358,3839,3581
,,4359,3840,3582
,,4360,3841,3583
,,4361,3842,3584
,,4362,3843,3585
,,4363,3844,3586
,,4365,3845,3587
,,4366,3846,3588
,,4367,3847,3589
,,4368,3848,3590
,,4369,3849,3591
,,4370,3850,3592
,,4371,3851,3593
,,4378,3916,3594
,,4379,3917,3595
,,4380,3918,3596
,,4381,3919,3597
,,4384,3920,3598
,,4385,3921,3599
,,4386,3922,3600
,,4387,3923,3601
,,4388,3924,3602
,,4389,3925,3603
,,4390,3926,3604
,,4391,3927,3605
,,4480,4004,3606
,,4481,4005,3607
,,4482,4006,3608
,,4483,4007,3609
,,4484,4008,3610
,,4485,4088,3611
,,4486,4089,3612
,,4487,4090,3658
,,4488,4091,3661
,,4489,4092,3662
,,4490,4093,3663
,,4501,4177,3664
,,4507,4178,3665
,,4508,4179,3666
,,4509,4180,3667
,,4510,4181,3668
,,4511,4182,3669
,,4512,4183,3670
,,4513,4184,3671
,,4515,4185,3672
,,4516,4186,3673
,,4598,4277,3674
,,4599,4278,3675
,,4603,4279,3676
,,4604,4280,3677
,,4605,4281,3678
,,4606,4282,3679
,,4607,4283,3680
,,4608,4284,3681
,,4609,4285,3682
,,4610,4286,3683
,,4611,4287,3684
,,4612,4288,3685
,,4613,4289,3686
,,4634,4390,3687
,,4635,4391,3688
,,4636,4392,3735
,,4637,4393,3737
,,4638,4394,3738
,,4639,4395,3739
,,4640,4396,3740
,,4647,4397,3741
,,4730,4398,3742
,,4731,4399,3743
,,4732,4400,3744
,,4733,4401,3745
,,4734,4402,3746
,,4735,4512,3747
,,4736,4513,3748
,,4737,4514,3749
,,4738,4515,3750
,,4739,4516,3751
,,4740,4517,3752
,,4741,4518,3753
,,4743,4519,3754
,,4744,4520,3755
,,4775,4521,3756
,,4776,4522,3757
,,4777,4523,3758
,,4778,4524,3759
,,4873,4525,3760
,,4874,4526,3761
,,4875,4640,3762
,,4876,4641,3805
,,,4646,3812
,,,4647,3813
,,,4648,3814
,,,4649,3815
,,,4650,3816
,,,4651,3817
,,,4652,3818
,,,4653,3819
,,,4654,3820
,,,4655,3821
,,,4656,3822
,,,4657,3823
,,,4658,3824
,,,4659,3825
,,,4804,3826
,,,,3827
,,,,3828
,,,,3829
,,,,3830
,,,,3831
,,,,3832
,,,,3833
,,,,3834
,,,,3835
,,,,3836
,,,,3837
,,,,3838
,,,,3883
,,,,3884
,,,,3885
,,,,3886
,,,,3892
,,,,3893
,,,,3894
,,,,3895
,,,,3896
,,,,3897
,,,,3898
,,,,3899
,,,,3900
,,,,3901
,,,,3902
,,,,3903
,,,,3904
,,,,3905
,,,,3906
,,,,3907
,,,,3908
,,,,3909
,,,,3910
,,,,3911
,,,,3912
,,,,3913
,,,,3914
,,,,3915
,,,,3966
,,,,3967
,,,,3968
,,,,3969
,,,,3970
,,,,3971
,,,,3972
,,,,3973
,,,,3974
,,,,3975
,,,,3976
,,,,3977
,,,,3978
,,,,3979
,,,,3980
,,,,3981
,,,,3982
,,,,3983
,,,,3984
,,,,3985
,,,,3986
,,,,3987
,,,,3988
,,,,3989
,,,,3990
,,,,3991
,,,,3992
,,,,3993
,,,,3994
,,,,3995
,,,,3996
,,,,3997
,,,,3998
,,,,3999
,,,,4000
,,,,4001
,,,,4002
,,,,4003
,,,,4056
,,,,4057
,,,,4058
,,,,4059
,,,,4060
,,,,4061
,,,,4062
,,,,4063
,,,,4064
,,,,4065
,,,,4066
,,,,4067
,,,,4068
,,,,4069
,,,,4070
,,,,4071
,,,,4072
,,,,4073
,,,,4074
,,,,4075
,,,,4076
,,,,4077
,,,,4078
,,,,4079
,,,,4080
,,,,4081
,,,,4082
,,,,4083
,,,,4084
,,,,4085
,,,,4086
,,,,4087
,,,,4130
,,,,4131
,,,,4132
,,,,4133
,,,,4139
,,,,4140
,,,,4141
,,,,4142
,,,,4143
,,,,4144
,,,,4145
,,,,4146
,,,,4147
,,,,4148
,,,,4149
,,,,4150
,,,,4151
,,,,4152
,,,,4153
,,,,4154
,,,,4155
,,,,4156
,,,,4157
,,,,4158
,,,,4159
,,,,4160
,,,,4161
,,,,4162
,,,,4163
,,,,4164
,,,,4165
,,,,4166
,,,,4167
,,,,4168
,,,,4169
,,,,4170
,,,,4171
,,,,4172
,,,,4173
,,,,4174
,,,,4175
,,,,4176
,,,,4230
,,,,4231
,,,,4232
,,,,4233
,,,,4234
,,,,4235
,,,,4236
,,,,4237
,,,,4238
,,,,4241
,,,,4242
,,,,4243
,,,,4244
,,,,4245
,,,,4246
,,,,4247
,,,,4248
,,,,4249
,,,,4250
,,,,4251
,,,,4252
,,,,4253
,,,,4254
,,,,4255
,,,,4256
,,,,4257
,,,,4258
,,,,4259
,,,,4260
,,,,4261
,,,,4262
,,,,4263
,,,,4264
,,,,4265
,,,,4266
,,,,4267
,,,,4268
,,,,4269
,,,,4270
,,,,4271
,,,,4272
,,,,4273
,,,,4274
,,,,4275
,,,,4276
,,,,4357
,,,,4358
,,,,4359
,,,,4360
,,,,4361
,,,,4362
,,,,4363
,,,,4364
,,,,4365
,,,,4366
,,,,4367
,,,,4368
,,,,4369
,,,,4370
,,,,4371
,,,,4372
,,,,4373
,,,,4374
,,,,4375
,,,,4376
,,,,4377
,,,,4378
,,,,4379
,,,,4380
,,,,4381
,,,,4384
,,,,4385
,,,,4386
,,,,4387
,,,,4388
,,,,4389
,,,,4480
,,,,4481
,,,,4482
,,,,4483
,,,,4484
,,,,4485
,,,,4486
,,,,4487
,,,,4488
,,,,4489
,,,,4490
,,,,4491
,,,,4492
,,,,4493
,,,,4494
,,,,4495
,,,,4496
,,,,4497
,,,,4498
,,,,4501
,,,,4507
,,,,4508
,,,,4509
,,,,4510
,,,,4511
,,,,4597
,,,,4598
,,,,4599
,,,,4600
,,,,4601
,,,,4602
,,,,4603
,,,,4604
,,,,4605
,,,,4606
,,,,4607
,,,,4608
,,,,4609
,,,,4610
,,,,4611
,,,,4612
,,,,4613
,,,,4614
,,,,4615
,,,,4616
,,,,4617
,,,,4618
,,,,4619
,,,,4620
,,,,4634
,,,,4635
,,,,4636
,,,,4637
,,,,4638
,,,,4639
,,,,4730
,,,,4731
,,,,4732
,,,,4733
,,,,4734
,,,,4735
,,,,4736
,,,,4737
,,,,4738
,,,,4739
,,,,4740
,,,,4741
,,,,4742
,,,,4743
,,,,4744
,,,,4746
,,,,4747
,,,,4748
,,,,4749
,,,,4775
,,,,4776
,,,,4777
,,,,4778
,,,,4873
,,,,4874
,,,,4875
,,,,4876
